Place,Latitude,Longitude
A'ali,26.154454,50.527364
Abu Baham,26.20371,50.54361
Abu Saiba,26.21716,50.50682
Al Garrya,26.23269,50.57811
Al Hajar,26.21561,50.5124
Al Kharijiya,26.16023,50.60914
Al Markh,39.070847,-84.475991
Al Musalla,26.20879,50.54109
Al Qadam,26.20923,50.52412
Al Qala,26.22403,50.5229
Al Qurayyah,26.20349,50.47511
Amwaj Islands,26.28753,50.66723
Arad,26.251204,50.632685
Askar,26.11856,50.58313
Awali,26.083426,50.548905
Budaiya,26.215629,50.452355
Jid Ali,26.17795,50.56232
Bahrain Bay,29.33376,48.08153
Bani Jamra,26.2135,50.46196
Barbar,26.22374,50.4833
Bilad Al Qadeem,26.20882,50.55499
Bu Quwah,26.19526,50.51517
Buri,26.15167,50.50029
Busaiteen,26.26715,50.60843
Al Daih,26.22362,50.53734
Al Dair,26.28757,50.62602
Dar Kulaib,26.06511,50.512219
Diplomatic Area,26.243393,50.589125
Diraz,26.21793,50.46652
Diyar Al Muharraq,26.29538,50.64253
Dumistan,29.33376,48.08153
Durrat Al Bahrain,25.84415,50.61246
East Hidd City,53.3876,-1.42137
Eker,26.14305,50.60869
Galali,26.2705,50.65359
Al Hidd,26.244054,50.652889
Halat Bu Maher,29.23823,30.78703
Halat Nuaim,26.22403,50.5229
Hamad Town,26.126746,50.498336
Hamala,26.14374,50.47587
Hawar Islands,25.70187,50.77809
Hillat Abdul Saleh,-7.33461,108.23447
Isa Town,26.1742,50.547343
Janabiyah,26.1673,50.46761
Jannusan,26.22472,50.49647
Jasra,29.33376,48.08153
Jaww,26.001285,50.617699
Jid Al-Haj,26.23105,50.50314
Jidhafs,26.216345,50.540717
Jurdab,29.33376,48.08153
Karbabad,26.22834,50.52249
Karrana,26.22525,50.50704
Karzakan,26.113833,50.480996
Khamis,26.20439,50.54978
Ma'ameer,26.13319,50.615134
Mahazza,29.33376,48.08153
Malkiya,26.10009,50.48696
Manama,26.223504,50.582244
Marquban,29.33376,48.08153
Muharraq,26.246595,50.616413
Muqaba,26.21397,50.48797
Muqsha,29.33376,48.08153
Nabih Saleh,26.182381,50.584301
Northern City,26.23035,50.59265
Nurana Islands,-27.68581,153.37789
Nuwaidrat,26.13789,50.59787
Riffa,26.131526,50.550343
Reef Island,36.10273,-115.28299
Sadad,26.08746,50.4899
Sakhir,26.05759,50.52826
Salmabad,26.17973,50.52058
Samaheej,26.2816,50.63163
Sanad,26.15073,50.58549
Sar,26.21548,50.47989
Sehla,26.21143,50.5342
Shahrakan,26.07545,50.49978
Shakhura,29.33376,48.08153
Sitra,26.152022,50.621544
Sufala,26.16121,50.6263
Tashan,26.21091,50.54878
Tubli,26.18891,50.55268
Umm an Nasan,26.13331,50.57174
Zallaq,26.048455,50.486985
